Name of preset,Alternative names,Atmosphere,business_type,section_type ,path,atmosphere_original,reviewed
Small carousel,"sweep, drift, slide in, glide in, smooth slide","[""smooth"", ""inspirational"", ""flowing"", ""elegant"", ""seamless"", ""polished"", ""effortless"", ""silky"", ""depth"", ""futuristic"", ""innovative"", ""bold"", ""techy""]","Creative Agencies, Design Studios, Tech Companies, Startups, Fashion Brands, Lifestyle Brands, Luxury Brands, eCommerce, Gaming, Fitness, SaaS, Travel, Festivals, Art, Beauty, Cosmetics, Music","Hero, Product Section, Services Section, Team, Testimonials,, Cards, Interactive Cards, Portfolio",Gallery-and-Carousel/SmallCarousel.html,,2026-08-30T13:14:46
acordion scroll,"depth scroll, layered scroll, parallax scroll, 3D scroll, background shift","[""dynamic"", ""interactive"", ""fun"", ""poppy"", ""flowing"", ""sophisticated"", ""modern"", ""spatial"", ""depth"", ""alive"", ""playful"", ""edgy""]","Creative Agencies, Design Studios, Tech Companies, Startups, Fashion Brands, Lifestyle Brands, Luxury Brands, Automotive, eCommerce, Retail, Entertainment, Media, Streaming Services, Gaming, Health, Fitness, Wellness, Education, Finance, Banking, SaaS, Real Estate, Architecture, Hospitality, Travel, Events, Conferences, Festivals, Nonprofits, Art, Culture, Museums, Restaurants, Beauty, Cosmetics, Music, Performing Arts, Interior Design, Home Decor, Marketing & Consulting Agencies, Environmental & Sustainability Initiatives, Wedding & Event, Corporate Websites.","Product Section, Services Section, Team, Testimonials, Feature Gallery, Gallery, Cards, Interactive Cards, Portfolio",Gallery-and-Carousel/AccordionScrollHorizontal.html,"[""dynamic"", ""interactive"", ""fun"", ""poppy"", ""flowing"", ""sophisticated"", ""modern"", ""spatial"", ""depth"", ""gradual"", ""alive""]",2026-08-30T11:19:26
Digital Jukebox,"grow, enlarge, open, scale up, pop open","[""revealing"", ""vertical"", ""confident"", ""impactful"", ""creative"", ""bold"", ""spiraling"", ""expressive"", ""depth"", ""layering"", ""circular"", ""cool""]","Creative Agencies, Design Studios, Tech Companies, Startups, Fashion Brands, Lifestyle Brands, Luxury Brands, eCommerce, Entertainment, Gaming, Architecture, Travel, Events, Festivals, Art, Culture, Museums, Beauty, Music, Performing Arts, Interior Design, Home Decor","Home Page, Gallery, Product Section, Services Section, Feature Gallery, Gallery, Cards, Interactive Cards, Portfolio",Gallery-and-Carousel/DigitalJukebox.html,"[""revealing"", ""vertical"", ""confident"", ""impactful"", ""creative"", ""bold"", ""spiraling"", ""expressive"", ""depth"", ""layering"", ""circular""]",2026-08-30T11:34:07
Vertical/ horizontal lanes ,,"[""smooth"", ""gentle"", ""elegant"", ""soft"", ""clean"", ""refined"", ""graceful"", ""classic"", ""high-end"", ""modern"", ""silky"", ""endless"", ""immersive"", ""continuous"", ""flowing"", ""simple""]","Creative Agencies, Design Studios, Tech Companies, Startups, Fashion Brands, Lifestyle Brands, Luxury Brands, Automotive, eCommerce, Retail, Entertainment, Media, Streaming Services, Gaming, Health, Fitness, Wellness, Education, Finance, Banking, SaaS, Real Estate, Architecture, Hospitality, Travel, Events, Conferences, Festivals, Nonprofits, Art, Culture, Museums, Restaurants, Beauty, Cosmetics, Music, Performing Arts, Interior Design, Home Decor, Marketing & Consulting Agencies, Environmental & Sustainability Initiatives, Wedding & Event, Corporate Websites.","Home Page, Product Section, Feature Gallery, Gallery",Gallery-and-Carousel/VerticalLanes.html,"[""smooth"", ""gentle"", ""subtle"", ""elegant"", ""soft"", ""clean"", ""refined"", ""graceful"", ""classic"", ""high-end"", ""modern"", ""silky"", ""endless"", ""immersive"", ""continuous""]",2026-08-30T11:11:17
Vertical/ horizontal lanes ,,"[""smooth"", ""gentle"", ""subtle"", ""elegant"", ""soft"", ""clean"", ""refined"", ""graceful"", ""classic"", ""high-end"", ""modern"", ""silky"", ""endless"", ""immersive"", ""continuous""]","Creative Agencies, Design Studios, Tech Companies, Startups, Fashion Brands, Lifestyle Brands, Luxury Brands, Automotive, eCommerce, Retail, Entertainment, Media, Streaming Services, Gaming, Health, Fitness, Wellness, Education, Finance, Banking, SaaS, Real Estate, Architecture, Hospitality, Travel, Events, Conferences, Festivals, Nonprofits, Art, Culture, Museums, Restaurants, Beauty, Cosmetics, Music, Performing Arts, Interior Design, Home Decor, Marketing & Consulting Agencies, Environmental & Sustainability Initiatives, Wedding & Event, Corporate Websites.","Home Page, Product Section, Feature Gallery, Gallery",Gallery-and-Carousel/HorizontalLanes.html,,2026-08-30T13:14:22
Endless Parallax,,"[""playful"", ""bold"", ""3d"", ""expressive"", ""innovative"", ""interactive"", ""dynamic"", ""edgy"", ""fun"", ""futuristic"", ""flowless"", ""unconventional"", ""attention-grabbing"", ""graphic""]","Creative Agencies, Design Studios, Fashion Brands, Lifestyle Brands, Luxury Brands, Media, Architecture, Travel, Events, Conferences, Festivals,, Art, Culture, Museums, Restaurants, Beauty, Cosmetics, Music, Performing Arts, Interior Design, Home Decor, , Wedding & Event","Home Page, Hero,Gallery, Cards, Portfolio",Gallery-and-Carousel/EndlessParallax.html,"[""playful"", ""bold"", ""3d"", ""expressive"", ""innovative"", ""interactive"", ""dynamic"", ""edgy"", ""fun"", ""futuristic"", ""flowless""]",2026-08-30T13:00:55
horziontally scrolling image gallery,"throb, beat, heartbeat, pulsate, pulse glow","[""horizontal"", ""organic"", ""playful"", ""fun"", ""smooth"", ""groovy"", ""shape"", ""zoom"", ""interactive"", ""modern"", ""innovative"", ""bold"", ""edgy"", ""sophisticated"", ""dynamic"", ""futuristic""]","Creative Agencies, Design Studios, Tech Companies, Startups, Fashion Brands, Lifestyle Brands, Luxury Brands, Automotive, eCommerce, Retail, Entertainment, Media, Streaming Services, Gaming, Health, Fitness, Wellness, Education, Finance, Banking, SaaS, Real Estate, Architecture, Hospitality, Travel, Events, Conferences, Festivals, Nonprofits, Art, Culture, Museums, Restaurants, Beauty, Cosmetics, Music, Performing Arts, Interior Design, Home Decor, Marketing & Consulting Agencies, Environmental & Sustainability Initiatives, Wedding & Event, Corporate Websites.","Hero, Product Section, Services Section, Team, Feature Gallery, Gallery, Cards, Interactive Cards, Portfolio",Gallery-and-Carousel/HorizontallyScrollingGallery.html,"[""horizontal"", ""organic"", ""playful"", ""fun"", ""smooth"", ""groovy"", ""shape"", ""zoom"", ""interactive"", ""modern"", ""innovative"", ""bold"", ""edgy"", ""sophisticated""]",2026-08-30T13:07:23
Accordion Scroll Vertical,"rotate, whirl, turn, twirl, scroll 360","[""playful"", ""dynamic"", ""interactive"", ""eye-catching"", ""fun"", ""creative"", ""unconventional"", ""artistic"", ""experimental"", ""surprising"", ""expressive""]","Creative Agencies, Design Studios, Tech Companies, Startups, Fashion Brands, Lifestyle Brands, Luxury Brands, Automotive, eCommerce, Retail, Entertainment, Media, Streaming Services, Gaming, Health, Fitness, Wellness, Education, Finance, Banking, SaaS, Real Estate, Architecture, Hospitality, Travel, Events, Conferences, Festivals, Nonprofits, Art, Culture, Museums, Restaurants, Beauty, Cosmetics, Music, Performing Arts, Interior Design, Home Decor, Marketing & Consulting Agencies, Environmental & Sustainability Initiatives, Wedding & Event, Corporate Websites.","Product Section, Services Section, Feature Gallery, Gallery, Cards, Interactive Cards, Portfolio",Gallery-and-Carousel/AccordionScrollVertical.html,"[""playful"", ""dynamic"", ""interactive"", ""eye-catching"", ""fun"", ""creative"", ""unconventional"", ""artistic"", ""experimental""]",2026-08-30T11:18:44
Wheel Carousel,"shake, wobble, jiggle, shimmy, waver","[""smooth"", ""flowing"", ""elegant"", ""seamless"", ""polished"", ""gentle"", ""soft"", ""clean""]","Creative Agencies, Design Studios, Tech Companies, Startups, Fashion Brands, Lifestyle Brands, Luxury Brands, Automotive, eCommerce, Retail, Entertainment, Media, Streaming Services, Gaming, Health, Fitness, Wellness, Education, Finance, Banking, SaaS, Real Estate, Architecture, Hospitality, Travel, Events, Conferences, Festivals, Nonprofits, Art, Culture, Museums, Restaurants, Beauty, Cosmetics, Music, Performing Arts, Interior Design, Home Decor, Marketing & Consulting Agencies, Environmental & Sustainability Initiatives, Wedding & Event, Corporate Websites.","Hero, gallery, Product Section, Services Section, Case Studies,, About, Team, How It Works, Testimonials, Feature Gallery, Gallery, Cards, Interactive Cards, Portfolio",Gallery-and-Carousel/WheelCarousel.html,,2026-08-30T13:14:17
3D small carousel ,"slant, shear, tilt, distort, bias","[""edgy"", ""3d"", ""depth"", ""creative"", ""unconventional"", ""artistic"", ""experimental"", ""bold"", ""modern"", ""continuous"", ""high-end"", ""techy"", ""immersive"", ""dynamic"", ""endless"", ""expressive"", ""impactful""]","Creative Agencies, Design Studios, Tech Companies, Startups, Fashion Brands, Lifestyle Brands, Luxury Brands, Automotive, eCommerce, Retail, Entertainment, Media, Streaming Services, Gaming, Health, Fitness, Wellness, Education, Finance, Banking, SaaS, Real Estate, Architecture, Hospitality, Travel, Events, Conferences, Festivals, Nonprofits, Art, Culture, Museums, Restaurants, Beauty, Cosmetics, Music, Performing Arts, Interior Design, Home Decor, Marketing & Consulting Agencies, Environmental & Sustainability Initiatives, Wedding & Event, Corporate Websites.","Hero, gallery, Product Section, Services Section, Case Studies,, About, Team, How It Works, Testimonials, Feature Gallery, Gallery, Cards, Interactive Cards, Portfolio",Gallery-and-Carousel/3DSmallCarousel.html,"[""edgy"", ""3d"", ""depth"", ""creative"", ""unconventional"", ""artistic"", ""experimental"", ""bold"", ""modern"", ""continuous"", ""high-end"", ""techy""]",2026-08-30T11:17:10
Looped tabs with perspective,"reduce, scale down, minimize, contract, collapse","[""smooth"", ""flowing"", ""clean"", ""organized"", ""structured"", ""elegant"", ""soft"", ""refined"", ""understated"", ""gentle"", ""classic"", ""effortless""]","Creative Agencies, Design Studios, Tech Companies, Startups, Fashion Brands, Lifestyle Brands, Luxury Brands, Automotive, eCommerce, Retail, Entertainment, Media, Streaming Services, Gaming, Health, Fitness, Wellness, Education, Finance, Banking, SaaS, Real Estate, Architecture, Hospitality, Travel, Events, Conferences, Festivals, Nonprofits, Art, Culture, Museums, Restaurants, Beauty, Cosmetics, Music, Performing Arts, Interior Design, Home Decor, Marketing & Consulting Agencies, Environmental & Sustainability Initiatives, Wedding & Event, Corporate Websites.","Product Section, Services Section, Team, Feature Gallery, Gallery, Cards, Interactive Cards, Portfolio",Gallery-and-Carousel/LoopedTabsWithPerspective.html,"[""smooth"", ""flowing"", ""clean"", ""organized"", ""structured"", ""elegant"", ""soft""]",2026-08-30T13:08:08
3D_Parallax_Gallery,,"[""depth"", ""3d"", ""dimensional"", ""interactive"", ""alive"", ""playful"", ""perspective"", ""layered"", ""polished"", ""structured"", ""organized"", ""cool"", ""poppy"", ""energetic""]",,,Gallery-and-Carousel/3D_Parallax_Gallery.html,"[""depth"", ""3d"", ""dimensional"", ""interactive"", ""alive"", ""playful"", ""perspective"", ""layered"", ""polished"", ""structured"", ""organized"", ""cool""]",2026-08-30T11:17:42
BlurFocus_Gallery,,"[""revealing"", ""smooth"", ""interactive"", ""alive"", ""polished"", ""staggered"", ""structured"", ""organized"", ""subtle"", ""elegant"", ""playful""]",,,Gallery-and-Carousel/BlurFocus_Gallery.html,"[""revealing"", ""smooth"", ""interactive"", ""transformative"", ""alive"", ""polished"", ""zoom"", ""staggered"", ""structured"", ""organized"", ""subtle"", ""elegant""]",2026-08-30T11:20:54
CardSpreadByHover,,"[""smooth"", ""elegant"", ""horizontal"", ""clean"", ""polished"", ""interactive"", ""layered"", ""revealing"", ""effortless"", ""silky"", ""refined"", ""flowing"", ""impactful""]",,,Gallery-and-Carousel/CardSpreadByHover.html,"[""smooth"", ""elegant"", ""horizontal"", ""clean"", ""polished"", ""interactive"", ""layered"", ""revealing"", ""effortless"", ""silky"", ""refined"", ""flowing""]",2026-08-30T11:23:06
CardSpread_7,,"[""bold"", ""circular"", ""impactful"", ""graphic"", ""dynamic"", ""layered"", ""revealing"", ""gradual"", ""spiraling"", ""futuristic"", ""attention-grabbing"", ""techy"", ""flowing""]",,,Gallery-and-Carousel/CardSpread_7.html,,2026-08-30T11:22:42
CasperGallery,,"[""playful"", ""alive"", ""surprising"", ""interactive"", ""poppy"", ""endless"", ""experimental"", ""staggered"", ""revealing"", ""energetic"", ""immersive"", ""fun"", ""expressive"", ""edgy"", ""dynamic"", ""graphic"", ""cool"", ""charming""]",,,Gallery-and-Carousel/CasperGallery.html,"[""playful"", ""alive"", ""surprising"", ""interactive"", ""poppy"", ""endless"", ""experimental"", ""staggered"", ""zoom"", ""revealing"", ""organic"", ""energetic"", ""immersive""]",2026-08-30T11:27:25
Cornergallery01,,"[""immersive"", ""revealing"", ""zoom"", ""interactive"", ""impactful"", ""continuous"", ""transformative"", ""alive"", ""endless"", ""seamless""]",,,Gallery-and-Carousel/Cornergallery01.html,"[""immersive"", ""revealing"", ""zoom"", ""interactive"", ""impactful"", ""continuous"", ""transformative"", ""alive"", ""endless"", ""bold"", ""expressive"", ""seamless""]",2026-08-30T11:28:38
CursorTrail,,"[""playful"", ""interactive"", ""alive"", ""poppy"", ""surprising"", ""revealing"", ""cascading"", ""fun"", ""clean"", ""charming"", ""groovy"", ""edgy"", ""dynamic"", ""modern""]",,,Gallery-and-Carousel/CursorTrail.html,"[""playful"", ""interactive"", ""alive"", ""poppy"", ""surprising"", ""zoom"", ""revealing"", ""cascading"", ""organic"", ""fun"", ""clean"", ""minimal""]",2026-08-30T11:29:10
DiagonalShuffle,,"[""dynamic"", ""smooth"", ""staggered"", ""cascading"", ""depth"", ""gradual"", ""polished"", ""zoom"", ""playful"", ""energetic"", ""clean"", ""dimensional"", ""layered"", ""elegant""]",,,Gallery-and-Carousel/DiagonalShuffle.html,"[""dynamic"", ""smooth"", ""staggered"", ""cascading"", ""depth"", ""gradual"", ""polished"", ""zoom"", ""playful"", ""energetic"", ""clean"", ""dimensional""]",2026-08-30T11:29:33
DolphinAnimation,,"[""playful"", ""revealing"", ""alive"", ""interactive"", ""organic"", ""surprising"", ""fun"", ""groovy"", ""transformative"", ""vertical"", ""clean"", ""poppy"", ""expressive"", ""modern"", ""innovative"", ""edgy""]",,,Gallery-and-Carousel/DolphinAnimation.html,"[""playful"", ""revealing"", ""alive"", ""interactive"", ""organic"", ""surprising"", ""fun"", ""groovy"", ""transformative"", ""vertical"", ""clean"", ""poppy""]",2026-08-30T11:34:23
FadeInGallery,,"[""immersive"", ""zoom"", ""smooth"", ""revealing"", ""continuous"", ""interactive"", ""impactful"", ""seamless"", ""endless"", ""alive"", ""polished"", ""transformative"", ""classic""]",,,Gallery-and-Carousel/FadeInGallery.html,"[""immersive"", ""zoom"", ""smooth"", ""revealing"", ""continuous"", ""interactive"", ""impactful"", ""seamless"", ""endless"", ""alive"", ""polished"", ""transformative""]",2026-08-30T13:05:50
FerrisWheel,,"[""circular"", ""endless"", ""continuous"", ""gradual"", ""flowing"", ""seamless"", ""spiraling"", ""playful"", ""smooth"", ""effortless"", ""structured"", ""organized"", ""clean""]",,,Gallery-and-Carousel/FerrisWheel.html,"[""circular"", ""endless"", ""continuous"", ""gradual"", ""flowing"", ""seamless"", ""spiraling"", ""playful"", ""smooth"", ""effortless"", ""structured"", ""organized""]",2026-08-30T13:06:14
HorizontalCarouselPerspective,,"[""depth"", ""3d"", ""dimensional"", ""spatial"", ""perspective"", ""layered"", ""horizontal"", ""gradual"", ""flowing"", ""continuous"", ""clean"", ""elegant"", ""high-end"", ""modern"", ""calm""]",,,Gallery-and-Carousel/HorizontalCarouselPerspective.html,"[""depth"", ""3d"", ""dimensional"", ""spatial"", ""perspective"", ""layered"", ""horizontal"", ""gradual"", ""flowing"", ""continuous"", ""effortless"", ""clean"", ""elegant""]",2026-08-30T13:06:50
Interactive_ Rotating_Gallery_Grid,,"[""interactive"", ""alive"", ""depth"", ""dimensional"", ""spatial"", ""perspective"", ""layered"", ""smooth"", ""polished"", ""structured"", ""organized"", ""staggered"", ""playful"", ""immersive""]",,,Gallery-and-Carousel/Interactive_ Rotating_Gallery_Grid.html,"[""interactive"", ""alive"", ""depth"", ""dimensional"", ""spatial"", ""perspective"", ""layered"", ""smooth"", ""polished"", ""structured"", ""organized"", ""staggered"", ""playful""]",2026-08-30T13:07:44
Looping_Sphere_Gallery,,"[""immersive"", ""depth"", ""3d"", ""dimensional"", ""spatial"", ""zoom"", ""endless"", ""continuous"", ""futuristic"", ""techy"", ""edgy"", ""alive"", ""bold"", ""graphic"", ""layered"", ""dynamic"", ""experimental""]",,,Gallery-and-Carousel/Looping_Sphere_Gallery.html,"[""immersive"", ""depth"", ""3d"", ""dimensional"", ""spatial"", ""zoom"", ""endless"", ""continuous"", ""futuristic"", ""techy"", ""edgy"", ""alive""]",2026-08-30T13:08:51
MantaRay,,"[""organic"", ""staggered"", ""endless"", ""continuous"", ""flowing"", ""horizontal"", ""gentle"", ""smooth"", ""playful"", ""alive"", ""interactive"", ""zoom"", ""seamless"", ""modern"", ""poppy"", ""fun"", ""surprising"", ""edgy""]",,,Gallery-and-Carousel/MantaRay.html,"[""organic"", ""staggered"", ""endless"", ""continuous"", ""flowing"", ""horizontal"", ""gentle"", ""smooth"", ""playful"", ""alive"", ""interactive"", ""zoom"", ""seamless""]",2026-08-30T13:09:15
Mirror_Hover_Galery,,"[""interactive"", ""alive"", ""surprising"", ""staggered"", ""structured"", ""organized"", ""smooth"", ""polished"", ""silky"", ""effortless"", ""zoom"", ""unique"", ""cool""]",,,Gallery-and-Carousel/Mirror_Hover_Galery.html,,2026-08-30T13:09:36
Mouse track infinite gallery,,"[""endless"", ""continuous"", ""flowing"", ""fluid"", ""immersive"", ""effortless"", ""smooth"", ""organic"", ""revealing"", ""interactive"", ""alive"", ""minimal"", ""clean"", ""graceful"", ""horizontal""]",,,Gallery-and-Carousel/Mouse track infinite gallery.html,"[""endless"", ""continuous"", ""flowing"", ""fluid"", ""immersive"", ""effortless"", ""smooth"", ""organic"", ""revealing"", ""interactive"", ""alive"", ""minimal"", ""clean""]",2026-08-30T13:10:07
Paragraph_Reaveal,,"[""elegant"", ""refined"", ""gradual"", ""revealing"", ""soft"", ""clean"", ""minimal"", ""sophisticated"", ""graceful"", ""effortless"", ""staggered"", ""unique"", ""high-end"", ""smooth"", ""subtle"", ""silky"", ""edgy""]",,,Gallery-and-Carousel/Paragraph_Reaveal.html,"[""elegant"", ""refined"", ""gradual"", ""revealing"", ""soft"", ""clean"", ""minimal"", ""sophisticated"", ""graceful"", ""flowing"", ""continuous"", ""effortless"", ""staggered""]",2026-08-30T13:11:26
